neuron_id,hit_peak,hit_auc,hit_latency,miss_peak,miss_auc,miss_latency,fa_peak,fa_auc,fa_latency,cr_peak,cr_auc,cr_latency
0531_20180518_28_timeseries.mat,0.12476542141950248,1.1230916272197389,21,0.14543715459959847,0.37890534126726416,24,0.06782104431925191,0.5844538542847546,22,0.08032814160565306,0.12258027555190885,16
0531_20180518_29_timeseries.mat,0.2336069470014129,2.9791967193813833,33,0.14046803393783713,-0.7388309443347334,31,0.11414398361765449,0.9190557206191952,23,0.14989255087678893,0.340466248945126,7
0531_20180518_2_timeseries.mat,0.04108375313241451,-0.1306690019761861,1,0.5025714803254232,3.078261623353354,11,0.09641492793389476,0.5334454254127696,3,0.13355565649506293,1.6366319551176187,22
0531_20180518_30_timeseries.mat,0.25643778759986163,3.5405038590420936,28,0.17799313814778414,0.7707954943527944,32,0.1442246416735935,1.2333663560155568,21,0.07995883516534313,-0.5960810994310712,4
0531_20180518_38_timeseries.mat,0.8912676438640215,16.068853123725564,23,0.5261607540505273,7.559791956448073,15,0.812069426949734,13.710100329954185,20,0.28820985487025036,3.580028777136004,22
0531_20180518_3_timeseries.mat,0.2883881142025195,4.014885694076789,23,0.25337024570575783,0.5089211286943672,1,0.13665018259339096,0.7143661123524545,20,0.20943050753129155,1.6425930891517544,31
0531_20180518_40_timeseries.mat,0.19825425079386486,3.6976403900393553,24,0.43692908680864745,3.849065301372181,6,0.21453580652199183,4.177490687090008,7,0.21987440762224428,1.990890640350486,12
0531_20180518_41_timeseries.mat,0.2474781143417778,3.660927587616989,19,0.2874729105204876,2.230659926221484,17,0.14869961534489953,2.396302565600005,1,0.19179656465227404,1.3284523657152743,38
0531_20180518_42_timeseries.mat,0.4599726067365784,5.343190119743168,37,0.24977214567895448,1.3133292478597944,36,0.25665554065826696,3.18628552811232,25,0.2007329252205397,2.522416376603572,4
0531_20180518_43_timeseries.mat,0.10733018486674777,1.8233336178414579,23,0.04701888539961406,-1.681227795610764,2,0.10309673242063495,1.1690276418355328,14,0.061838227569272645,0.07434684130423823,13
0531_20180518_44_timeseries.mat,0.6343290344150246,10.161499792850869,32,0.3368445389504944,3.6591105876241015,6,0.9966854985794538,11.482600154430456,24,0.22262759570424495,0.7028329597002477,17
0531_20180518_4_timeseries.mat,0.38440635744114654,7.3450085012563875,37,0.28232578933238983,-0.45196861872183414,0,0.16424280394451313,3.1699744810949877,8,0.3412324521331149,0.2604554499139129,10
0531_20180518_7_timeseries.mat,0.11967265139775056,1.4935033782642633,17,0.19867871396875542,2.096752819365654,20,0.08492536625330517,1.0394523767644375,20,0.0934620763904317,0.06695943336582563,23
0531_20180518_9_timeseries.mat,0.5396686292743604,9.387183919276945,28,0.11692294254899024,-1.5248751616720777,38,0.28542925096756966,4.132629573514336,24,0.05834283699330531,-1.964763347608206,37
0588_20180828_15_timeseries.mat,0.08789095150216382,1.0546106382241425,22,0.19361436611507088,0.2785218371039566,5,0.08412057334375891,-0.06991367199602724,8,0.06497343222620275,-0.09618886873412062,6
0588_20180828_25_timeseries.mat,0.05555497012235809,0.7453557909131393,19,0.29061677617331344,0.800651144574254,5,0.04726062073321337,0.5171039892807997,25,0.06507757636568239,-0.014512837345909696,8
0588_20180828_2_timeseries.mat,0.025456169457078626,-0.018068940045427032,17,0.14224938955157995,0.7145744703884702,21,0.03028178871296513,0.1016023651859262,5,0.08839490416369611,0.5247234924269528,3
0588_20180828_30_timeseries.mat,0.08978082617352262,1.0957274299404418,21,0.18101895375487706,-0.49229220844184357,16,0.03398099929751395,0.22947283700697307,28,0.08392301694895592,0.14045261250802105,4
0588_20180828_31_timeseries.mat,0.09300022153328134,1.2732068647202734,8,0.24672882143446864,2.2641988016645573,30,0.09832478517756811,0.4852769343043273,10,0.09134322564087567,0.0370931220219449,24
0588_20180828_32_timeseries.mat,0.08086314699266198,0.7596168987476114,18,0.15785543310145536,0.0016654682824285526,18,0.048143289261034214,0.2982315479026966,20,0.06122761100320326,-0.04456280357243808,0
0588_20180828_38_timeseries.mat,0.07909632691717129,0.757402278872809,24,0.17522250581532717,0.9426636894737991,7,0.06823088174346435,0.5178131711716614,24,0.07966887932871619,0.2533149953388572,10
0588_20180828_4_timeseries.mat,0.06992609638115584,0.26116873935606433,1,0.14142047920419523,0.6718253802901016,9,0.09217139727097765,0.6113686328598896,5,0.0883757216487861,1.1411873820727065,6
